ProductId,product_name_inferred
B005HGAV8I,Coffee
B005IW4WFY,Granola
B005K4Q1RW,Cup
B005K4Q1T0,Chocolate
B005K4Q1VI,Chocolate
B005K4Q1W2,Cup
B005K4Q1YA,Coffee
B005K4Q34S,Coffee
B005K4Q37A,Coffee
B005K4Q4KG,Chocolate
B005K4Q4LK,Coffee
B005K4Q68Q,Chocolate
B005V9UG18,Chocolate
B005VOOKS8,Coffee
B005VOOL00,Coffee
B005VOOLXM,Coffee
B005VOOM2W,Coffee
B005VOOM4A,Coffee
B005VOOM5E,Coffee
B005VOONGM,Coffee
B005VOONI0,Coffee
B005VOONKI,Coffee
B005VOONLW,Coffee
B005VOONM6,Coffee
B005ZBZLSU,Coffee
B005ZBZLT4,Coffee
B0061IUIDY,Tea
B0062A87HA,Pumpkin
B006GA666U,Coffee
B006H34CUS,Bar
B006HYLW32,Chips
B006MONQMC,Vitamins
B006N3HZ6K,Coffee
B006N3I0DM,Coffee
B006N3I1HM,Coffee
B006N3I29E,Coffee
B006N3IE6A,Coffee
B006N3IG4K,Coffee
B006Q820X0,Coffee
B0076MLL12,Chocolate
B007I7YZJK,Tea
B007I7Z3Z0,Tea
B007JFMH8M,Cookies
B007M832YY,Chips
B007M83302,Chips
B007PA30TG,Coffee
B007PA30ZU,Coffee
B007PA32L2,Coffee
B007PA33NY,Coffee
B007TGDXNO,Coffee
B007TJGY46,Coffee
B007TJGZ4A,Coffee
B007TJGZ54,Coffee
B007Y59HVM,Coffee
B0081XPTBS,Formula
B0083T5TAQ,Coffee
B0083T6HC0,Coffee
B008BY7NSE,Peanut
B008FHUGNQ,Coffee
B008FHUKE6,Coffee
B008GRONV6,Dog
B008J1HO4C,Oatmeal
B008JKSJJ2,Bar
B008JKTH2A,Bar
B008JKTTUA,Bar
B008JKU2CO,Bar
B008RWUHA6,Granola
B008RWUKXK,Granola
B008ZRKZSM,Peanut
B0090X8IPM,Coffee
B009E7YC54,Peanut
B009RB4GO4,Cup
