ProductId,product_name_inferred
B0026KNQSA,Popchips
B0076MLL12,Grove Square Hot Chocolate
B004TJF3BE,Caramel Apple Cider K-Cups
B000FMZO90,snapea crisps
B005A1LINC,Crystal Light Mojito Mix
B002QWP8H0,Greenies
B003SSWCJI,Natural Calm Magnesium
B0032CJPOK,Earth's Best Organic Infant Formula
B003CIBPN8,Zico Coconut Water
B007M832YY,Popchips
B000WVYB8Y,Natural Calm Magnesium
B000H0ZJIG,Zuke's Training Treats
B006N3HZ6K,Jet Fuel Coffee
B003JA5KKS,Green Mountain Breakfast Blend K-Cups
B000PDY3HI,Great Northern Popcorn
B003B3OOPA,Coconut oil
B005K4Q1W2,Caramel Apple Cider K-Cups
B001D0DMMY,Kind Protein Bars
B001D0DMME,Kind Protein Bars
B0083T6HC0,K-Cup Variety Sampler Pack
B004WTHCO2,babycook
B002GJ9JY6,pb2 powdered peanut butter
B008FHUGNQ,Jet Fuel Coffee
B00451WLYI,Starbucks Via Instant Coffee
B005VOOM5E,Marley Coffee One Love Pods
B003VXL0V6,Keurig coffee pods
B000WVY4PE,Natural Calm Magnesium
B001EYUE5M,Green Mountain Breakfast Blend K-Cups
B000V17MLS,Curry paste for butter chicken
B001D09KAM,Kind Protein Bars
B002IEVJRY,illy issimo cappuccino
B003FDG4K4,Orgain Nutritional Protein Shake
B005K4Q4LK,Grove Square Hazelnut Cappuccino K-Cups
B0026KPDG8,Popchips
B005VOOLXM,Marley Coffee One Love Pods
B009RB4GO4,Caramel Apple Cider K-Cups
B0029ZAOW8,5 Hour Energy
B008JKSJJ2,Kind Protein Bars
B005VOONGM,Marley Coffee One Love Pods
B0034EDMLI,Kind Bars
B000TQEWM2,Gloria Jean's Hazelnut K-Cups
B005K4Q1T0,Grove Square Hot Chocolate
B001LQCOIS,babycook
B003Z6ZGZU,Pumpkin Spice K-Cup Packs
B000HDI5O8,canned pumpkin
B005HGAV8I,Crazy Cups Flavored Coffee Sampler
B005ZBZLSU,San Francisco Bay coffee k-cups
B005VOONM6,Marley Coffee One Love Pods
B0034EDM2W,Kind Bars
B003QDRJXY,Nutiva Organic Extra Virgin Coconut Oil
B003D4MYLS,black tea
B0029XLH4Y,Jet Fuel Coffee
B005HG9ERW,Essentia Water
B000FFIL92,Numi Flowering Tea Gift Set
B005BRHVD6,GU Energy Gel
B000UBD88A,senseo dark roast coffee
B001E18K8S,Natural Calm Magnesium
B000G6O2QG,Kettle Chips
B001ELL60W,Golden Malted Waffle Mix
B005VOOL00,Marley Coffee One Love Pods
B008FHUKE6,Gloria Jean's Hazelnut K-Cups
B008BY7NSE,pb2 powdered peanut butter
B0018KLPFK,Larabar
B003XDH6M6,Pomegranate Licorice
B001RVFERK,Popchips
B000PDWBKO,great northern popcorn
B0013A0QXC,senseo dark roast coffee
B005K4Q1YA,Grove Square Hazelnut Cappuccino K-Cups
B003TC7WN4,Keurig coffee pods
B008JKU2CO,Kind Protein Bars
B005HG9ET0,Essentia Water
B004E4EBMG,Mio Mango Peach Water Enhancer
B000HDK0D2,Yummy Earth Organic Lollipops
B000HDK0DC,YummyEarth Organic Lollipops
B003QNLUTI,5 Hour Energy
B0083T5TAQ,K-Cup Flavored Coffee Sampler
B007I7YZJK,Lipton To Go Stix Green Tea Mix
B006N3IE6A,Keurig coffee pods
B004FGWU9O,Keurig coffee pods
B000H1217M,Zuke's Training Treats
B006N3I1HM,Gloria Jean's Hazelnut K-Cups
B004JGQ15E,Snackwell Fudge Drizzle Caramel Popcorn
B007PA30TG,Green Mountain Breakfast Blend K-Cups
B000QSON4K,greenies pill pockets
B0032CB15Q,Green Mountain Dark Magic Extra Bold
B005K4Q34S,Grove Square Hazelnut Cappuccino K-Cups
B009E7YC54,pb2 powdered peanut butter
B003VXHGDM,Keurig coffee pods
B0034EFIYC,Kind Bars
B0061IUIDY,Higgins Burke Tea
B001BDDT8K,Petite Cuisine Cat Food
B006MONQMC,Vitamin Squeeze Energy Drink
B001P3PR54,dental chews
B006HYLW32,Popchips BBQ Flavor
B001M2BM4I,Green Mountain Dark Magic Extra Bold
B004779XNW,Green Mountain Dark Magic Extra Bold
B001SAXPEO,Kettle Chips
B000H0ZJHW,Zuke's Training Treats
B001E8DHPW,Nutiva Coconut Oil
B0009YJ4CW,Everlasting Treat Ball
B007JFMH8M,Quaker Soft Baked Oatmeal Cookies
B001EO5U3I,Steel Cut Oatmeal
B002GKEK7G,Click Protein Drink
B004P4POZ8,pb2 powdered peanut butter
B005K4Q68Q,Grove Square Hot Chocolate
